Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,City,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
IN-2019-103065,2019-01-01,2019-01-03,CUST-0234,Customer 0234,Corporate,India,Ahmedabad,West,Off-Sto-882,Office Supplies,Storage,Storage Item 50,6083.01,5,0.0,912.45
IN-2020-101928,2019-01-01,2019-01-08,CUST-0372,Customer 0372,Home Office,India,Mumbai,West,Off-Pap-945,Office Supplies,Paper,Paper Item 30,44151.97,10,0.1,2452.89
IN-2019-102217,2019-01-01,2019-01-02,CUST-0470,Customer 0470,Home Office,India,Mumbai,West,Off-Art-631,Office Supplies,Art,Art Item 33,22893.32,6,0.0,3434.0
IN-2022-104388,2019-01-01,2019-01-04,CUST-0222,Customer 0222,Home Office,India,Surat,West,Off-Sto-329,Office Supplies,Storage,Storage Item 47,21597.21,7,0.0,3239.58
IN-2019-100927,2019-01-01,2019-01-07,CUST-0134,Customer 0134,Consumer,India,Hyderabad,South,Fur-Fur-841,Furniture,Furnishings,Furnishings Item 34,36336.92,5,0.0,1816.85
IN-2021-100981,2019-01-02,2019-01-04,CUST-0411,Customer 0411,Corporate,India,Chennai,South,Tec-Acc-174,Technology,Accessories,Accessories Item 16,43919.27,3,0.0,10979.82
IN-2021-101326,2019-01-03,2019-01-06,CUST-0153,Customer 0153,Consumer,India,Surat,West,Off-Art-960,Office Supplies,Art,Art Item 40,6590.22,2,0.0,988.53
IN-2020-100102,2019-01-03,2019-01-04,CUST-0486,Customer 0486,Home Office,India,Ahmedabad,West,Tec-Acc-885,Technology,Accessories,Accessories Item 37,89911.24,7,0.1,14985.21
IN-2020-104856,2019-01-03,2019-01-09,CUST-0015,Customer 0015,Consumer,India,Mumbai,West,Fur-Tab-197,Furniture,Tables,Tables Item 37,27588.36,3,0.1,-1532.69
IN-2020-104009,2019-01-03,2019-01-09,CUST-0134,Customer 0134,Home Office,India,Delhi,North,Fur-Boo-741,Furniture,Bookcases,Bookcases Item 22,67379.36,10,0.0,3368.97
IN-2021-104321,2019-01-04,2019-01-07,CUST-0165,Customer 0165,Consumer,India,Pune,West,Fur-Tab-879,Furniture,Tables,Tables Item 40,7477.25,2,0.0,373.86
IN-2020-104392,2019-01-05,2019-01-12,CUST-0003,Customer 0003,Home Office,India,Kochi,South,Tec-Pho-552,Technology,Phones,Phones Item 34,160765.64,10,0.1,26794.27
IN-2019-100108,2019-01-05,2019-01-11,CUST-0171,Customer 0171,Corporate,India,Bhubaneswar,East,Tec-Acc-435,Technology,Accessories,Accessories Item 40,44625.18,6,0.0,11156.29
IN-2019-102664,2019-01-05,2019-01-09,CUST-0488,Customer 0488,Corporate,India,Hyderabad,South,Off-Pap-307,Office Supplies,Paper,Paper Item 46,28687.7,10,0.2,-1792.98
IN-2021-104165,2019-01-06,2019-01-13,CUST-0114,Customer 0114,Home Office,India,Kochi,South,Fur-Tab-173,Furniture,Tables,Tables Item 19,10377.06,2,0.0,518.85
IN-2020-103142,2019-01-06,2019-01-11,CUST-0085,Customer 0085,Consumer,India,Bangalore,South,Tec-Mac-958,Technology,Machines,Machines Item 33,26097.35,3,0.1,4349.56
IN-2022-104329,2019-01-06,2019-01-11,CUST-0352,Customer 0352,Corporate,India,Hyderabad,South,Tec-Mac-424,Technology,Machines,Machines Item 29,39484.17,4,0.0,9871.04
IN-2022-100434,2019-01-06,2019-01-12,CUST-0061,Customer 0061,Consumer,India,Pune,West,Tec-Mac-825,Technology,Machines,Machines Item 29,112282.79,9,0.0,28070.7
IN-2019-103499,2019-01-06,2019-01-08,CUST-0008,Customer 0008,Consumer,India,Bhubaneswar,East,Tec-Cop-415,Technology,Copiers,Copiers Item 50,24772.99,3,0.0,6193.25
IN-2021-100942,2019-01-07,2019-01-14,CUST-0029,Customer 0029,Home Office,India,Ahmedabad,West,Off-Bin-722,Office Supplies,Binders,Binders Item 6,364.9,1,0.2,-22.81
IN-2020-101174,2019-01-07,2019-01-08,CUST-0348,Customer 0348,Corporate,India,Surat,West,Fur-Fur-760,Furniture,Furnishings,Furnishings Item 14,14354.1,1,0.0,717.7
IN-2021-103440,2019-01-08,2019-01-10,CUST-0228,Customer 0228,Consumer,India,Ahmedabad,West,Off-Pap-830,Office Supplies,Paper,Paper Item 1,32832.7,9,0.0,4924.9
IN-2022-104734,2019-01-08,2019-01-14,CUST-0467,Customer 0467,Consumer,India,Surat,West,Tec-Mac-477,Technology,Machines,Machines Item 50,154614.91,10,0.1,25769.15
IN-2022-101018,2019-01-09,2019-01-14,CUST-0024,Customer 0024,Corporate,India,Kochi,South,Tec-Pho-948,Technology,Phones,Phones Item 12,42814.99,4,0.0,10703.75
IN-2019-101426,2019-01-09,2019-01-14,CUST-0315,Customer 0315,Corporate,India,Mumbai,West,Tec-Acc-495,Technology,Accessories,Accessories Item 47,34019.03,5,0.5,-17009.51
IN-2020-104476,2019-01-10,2019-01-16,CUST-0180,Customer 0180,Consumer,India,Surat,West,Fur-Boo-648,Furniture,Bookcases,Bookcases Item 38,24856.89,3,0.0,1242.84
IN-2021-104249,2019-01-10,2019-01-16,CUST-0471,Customer 0471,Consumer,India,Patna,East,Fur-Tab-129,Furniture,Tables,Tables Item 49,26094.65,3,0.2,-4892.75
IN-2022-103383,2019-01-10,2019-01-14,CUST-0278,Customer 0278,Corporate,India,Guwahati,East,Fur-Cha-141,Furniture,Chairs,Chairs Item 4,68498.61,9,0.0,3424.93
IN-2022-101878,2019-01-10,2019-01-15,CUST-0266,Customer 0266,Corporate,India,Bangalore,South,Tec-Cop-312,Technology,Copiers,Copiers Item 48,30240.69,3,0.1,5040.12
IN-2020-103811,2019-01-11,2019-01-18,CUST-0335,Customer 0335,Corporate,India,Surat,West,Off-Pap-900,Office Supplies,Paper,Paper Item 47,1294.75,1,0.0,194.21
IN-2019-101415,2019-01-11,2019-01-12,CUST-0132,Customer 0132,Corporate,India,Pune,West,Fur-Cha-980,Furniture,Chairs,Chairs Item 26,32728.41,7,0.0,1636.42
IN-2020-104552,2019-01-12,2019-01-17,CUST-0384,Customer 0384,Home Office,India,Surat,West,Off-Sto-682,Office Supplies,Storage,Storage Item 27,6890.03,6,0.1,382.78
IN-2019-101758,2019-01-12,2019-01-18,CUST-0476,Customer 0476,Consumer,India,Chandigarh,North,Fur-Boo-826,Furniture,Bookcases,Bookcases Item 34,27902.43,10,0.0,1395.12
IN-2022-104559,2019-01-13,2019-01-19,CUST-0392,Customer 0392,Corporate,India,Bangalore,South,Off-Sto-574,Office Supplies,Storage,Storage Item 17,30455.68,8,0.0,4568.35
IN-2020-100189,2019-01-13,2019-01-17,CUST-0376,Customer 0376,Corporate,India,Surat,West,Off-Bin-459,Office Supplies,Binders,Binders Item 35,27303.25,7,0.1,1516.85
IN-2021-103992,2019-01-13,2019-01-19,CUST-0263,Customer 0263,Home Office,India,Kochi,South,Off-Art-645,Office Supplies,Art,Art Item 32,18684.13,4,0.0,2802.62
IN-2021-102510,2019-01-13,2019-01-16,CUST-0374,Customer 0374,Consumer,India,Chandigarh,North,Tec-Acc-717,Technology,Accessories,Accessories Item 32,124588.9,8,0.0,31147.23
IN-2019-100222,2019-01-13,2019-01-17,CUST-0019,Customer 0019,Home Office,India,Kolkata,East,Tec-Mac-620,Technology,Machines,Machines Item 36,47420.61,4,0.2,2963.79
IN-2022-100425,2019-01-13,2019-01-14,CUST-0007,Customer 0007,Consumer,India,Surat,West,Tec-Cop-989,Technology,Copiers,Copiers Item 43,142998.04,10,0.1,23833.01
IN-2020-101352,2019-01-15,2019-01-17,CUST-0348,Customer 0348,Home Office,India,Kolkata,East,Off-Bin-928,Office Supplies,Binders,Binders Item 7,13537.11,6,0.0,2030.57
IN-2019-101146,2019-01-15,2019-01-22,CUST-0026,Customer 0026,Corporate,India,Bangalore,South,Tec-Acc-712,Technology,Accessories,Accessories Item 10,35389.09,6,0.1,5898.18
IN-2020-103719,2019-01-16,2019-01-19,CUST-0473,Customer 0473,Corporate,India,Surat,West,Fur-Tab-701,Furniture,Tables,Tables Item 30,70858.76,10,0.5,-63772.88
